Title,Location,Bedrooms,Bathrooms,Size,Date,Amenities,Url,Property Type,Payment_type,Price
Warehouse in Athi River,Athi River,,,,05/02/2024,[],/listings/warehouse-for-sale-athi-river-area-3621703,commercial-property,sale,"KSh 700,000,000"
Commercial Property at Tiwi Near Travellers Beach Hotel,"Tiwi near Travellers Beach Hotel, Ukunda",,,,20/06/2024,[],/listings/commercial-property-for-sale-ukunda-3621427,commercial-property,sale,"KSh 6,500,000"
Commercial Property with Parking at Near Greensteads International School,"Near Greensteads International School, Nakuru County",,,,20/06/2024,['Parking'],/listings/commercial-property-for-sale-nakuru-3621343,commercial-property,sale,"KSh 45,000,000"
Commercial Property with Parking at Section 58,"Section 58, Nakuru County",,,,20/06/2024,['Parking'],/listings/commercial-property-for-sale-nakuru-3621338,commercial-property,sale,"KSh 280,000,000"
Commercial Property in Juja,Juja,,,,05/02/2024,[],/listings/commercial-property-for-sale-juja-3619003,commercial-property,sale,"KSh 2,843"
Commercial Property in Industrial Area,Industrial Area,,,,05/02/2024,[],/listings/commercial-property-for-sale-industrial-area-3616621,commercial-property,sale,"KSh 150,000,000"
Commercial Property in Karen,Karen,,,,18/03/2024,[],/listings/commercial-property-for-sale-karen-3616293,commercial-property,sale,"KSh 9,412,500"
Commercial Property in Karen,Karen,,,,18/03/2024,[],/listings/commercial-property-for-sale-karen-3616289,commercial-property,sale,"KSh 57,712,500"
Commercial Property in Nairobi CBD,Nairobi CBD,,,,05/02/2024,[],/listings/commercial-property-for-sale-nairobi-cbd-3616010,commercial-property,sale,Price not communicated
Office in Industrial Area,Industrial Area,,,,05/02/2024,[],/listings/office-for-sale-industrial-area-3616006,commercial-property,sale,"KSh 85,000,000"
0.5 ac Commercial Property in Ngara,Ngara,,,,07/05/2024,[],/listings/05-ac-commercial-property-for-sale-ngara-3615313,commercial-property,sale,"KSh 250,000,000"
Warehouse in Mombasa CBD,"Mombasa CBD, Mombasa Island",,,,02/07/2024,[],/listings/warehouse-for-sale-mombasa-cbd-3613945,commercial-property,sale,"KSh 65,000,000"
Commercial Property with Parking in Ruiru,Ruiru,,,,11/06/2024,"['Garden', 'Parking']",/listings/commercial-property-for-sale-ruiru-3612381,commercial-property,sale,"KSh 24,000,000"
Office with Backup Generator in Kilimani,Kilimani,,,,13/05/2024,"['Backup Generator', 'CCTV', 'Lift/Elevator', 'Parking']",/listings/office-for-sale-kilimani-3610707,commercial-property,sale,"KSh 14,500"
Commercial Property with Backup Generator in Westlands Area,"Westlands Area, Westlands",,,,24/07/2024,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Lift/Elevator', 'Parking', 'Wheelchair Access']",/listings/commercial-property-for-sale-westlands-area-3605868,commercial-property,sale,"KSh 1,500,000,000"
