Location,Bedrooms,Bathrooms,Date,Amenities,Property Type,Payment_type,Price,Sub_county
Kileleshwa,5.0,5.0,2024-07-30,"['Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']",houses,sale,80000000,Dagoretti North
Thika,5.0,5.0,2024-07-30,"['Aircon', 'BBQ', 'Balcony', 'Bus Stop', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Golf Course', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']",houses,sale,65000000,Roysambu
"muthangari drive, Lavington",4.0,5.0,2024-07-30,"['Alarm', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Parking', 'School', 'Shopping Centre', 'Staff Quarters']",houses,sale,78000000,Westlands
Lavington,5.0,5.0,2024-07-30,"['Backup Generator', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Hospital', 'Scenic View', 'School', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']",houses,sale,72000000,Dagoretti North
"Lusigetti, Gikambura, Kikuyu",3.0,4.0,2024-07-29,"['Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Hospital', 'Kids Play Area', 'Parking', 'School', 'Shopping Centre']",houses,sale,11000000,Dagoretti South
"Eastern ByPass, Ruiru",4.0,3.0,2024-07-30,"['Balcony', 'Borehole', 'Bus Stop', 'En Suite', 'Fibre Internet', 'Gated Community', 'Hospital', 'Parking', 'School', 'Shopping Centre', 'Staff Quarters']",houses,sale,13000000,Roysambu
"Runda mimosa, Runda, Westlands",5.0,8.0,2024-07-30,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Parking', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']",houses,sale,170000000,Westlands
"Kitisuru, Westlands",5.0,5.0,2024-07-30,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Golf Course', 'Gym', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']",houses,sale,120000000,Westlands
"Kamakis, Eastern Bypass, Ruiru",4.0,4.0,2024-07-30,"['BBQ', 'Balcony', 'Bus Stop', 'En Suite', 'Garden', 'Gated Community', 'Hospital', 'Parking', 'Shopping Centre']",houses,sale,14000000,Roysambu
"Kyuna, Westlands",4.0,4.0,2024-07-30,"['Balcony', 'En Suite', 'Parking']",houses,sale,45000000,Westlands
"Grevillea Grove, Westlands Area, Westlands",5.0,5.0,2024-07-30,"['Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Parking', 'Staff Quarters', 'Swimming Pool']",houses,sale,80000000,Westlands
"Membley estate, Ruiru",4.0,4.0,2024-07-30,"['Balcony', 'Borehole', 'Bus Stop', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Hospital', 'Kids Play Area', 'Parking', 'School', 'Serviced', 'Shopping Centre', 'Staff Quarters']",houses,sale,24500000,Roysambu
"Accacia Gate A, Accacia Paradise, Kitengela",3.0,4.0,2024-07-30,"['Balcony', 'Borehole', 'En Suite', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'School', 'Shopping Centre', 'Staff Quarters']",houses,sale,7500000,Embakasi South
Ongata Rongai,4.0,5.0,2024-07-26,"['Bus Stop', 'En Suite', 'Fibre Internet', 'Gated Community', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']",houses,sale,32000000,Langata
"Karen End, Karen",4.0,5.0,2024-11-07,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Golf Course', 'Hospital', 'Kids Play Area', 'Parking', 'School', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet']",houses,sale,33000000,Langata
Lavington,5.0,5.0,2024-07-30,"['Balcony', 'Garden', 'Parking']",houses,sale,60000000,Dagoretti North
Lavington,5.0,5.0,2024-07-30,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Gym', 'Hospital', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']",houses,sale,55000000,Dagoretti North
"Old Kiambu Rd, Muthaiga",5.0,3.0,2024-07-30,"['En Suite', 'Garden', 'Parking', 'Staff Quarters']",houses,sale,265000000,Westlands
Lavington,4.0,5.0,2024-07-30,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Gym', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Wheelchair Access']",houses,sale,60000000,Dagoretti North
Lavington,4.0,5.0,2024-07-30,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Gym', 'Hospital', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']",houses,sale,75000000,Dagoretti North
"Brookside, Westlands",4.0,4.0,2024-07-26,"['Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Staff Quarters']",houses,sale,60000000,Westlands
